Unnamed: 0,YEAR,Sports,state_cd,SUM_PARTIC_MEN,SUM_PARTIC_WOMEN,TOTAL_OPEXP_INCLCOED,SUM_TOTAL_HDCOACH,TOTAL_REVENUE_ALL,TOTAL_EXPENSE_ALL,TOTAL_PARTIC
307,2006,Golf,IL,548,240,1885330,90,4668061,6725863,788
308,2006,Golf,IN,335,181,1390533,55,3424982,5998764,516
309,2006,Golf,KS,229,87,911419,40,1795175,3151652,316
310,2006,Golf,KY,243,143,990146,43,2584725,4273008,386
311,2006,Golf,LA,126,48,599709,19,1286408,2631561,174
312,2006,Golf,MA,341,58,693271,40,1590777,1849182,399
313,2006,Golf,MD,117,39,369321,21,878170,1382854,156
314,2006,Golf,ME,136,23,74773,18,204247,204829,159
315,2006,Golf,MI,357,167,1235472,56,5101840,5270220,524
316,2006,Golf,MN,305,191,792865,56,1416006,2058574,496
317,2006,Golf,MO,293,177,948539,45,3613149,4231129,470
318,2006,Golf,MS,196,52,616381,31,1304197,2484535,248
319,2006,Golf,MT,75,67,348676,17,858371,1068349,142
320,2006,Golf,NC,455,207,2055799,72,5388887,9221050,662
321,2006,Golf,ND,84,47,239043,15,414254,570808,131
322,2006,Golf,NE,138,94,482218,27,1110315,1820919,232
323,2006,Golf,NH,55,8,110443,7,228577,204645,63
324,2006,Golf,NJ,179,25,488281,28,1640520,1546805,204
325,2006,Golf,NM,67,33,308650,10,529003,1336274,100
326,2006,Golf,NV,25,15,303584,4,287127,1402592,40
327,2006,Golf,NY,584,112,1469416,90,4324514,4374966,696
328,2006,Golf,OH,525,256,1848026,84,4798712,7317665,781
329,2006,Golf,OK,234,122,1862121,40,4593979,7027834,356
330,2006,Golf,OR,104,89,789936,24,1285105,3003091,193
331,2006,Golf,PA,892,213,1651831,120,4189106,4832526,1105
332,2006,Golf,RI,65,6,179815,7,589006,482587,71
333,2006,Golf,SC,238,114,1441729,38,6042616,6865903,352
334,2006,Golf,SD,89,74,219374,17,644269,630184,163
335,2006,Golf,TN,295,142,1535953,53,5004738,6875677,437
336,2006,Golf,TX,598,319,3893476,99,11092210,14757248,917
337,2006,Golf,UT,81,29,523933,12,1022253,1418738,110
338,2006,Golf,VA,302,75,1063835,40,2753692,4332023,377
339,2006,Golf,VT,43,5,50114,6,141468,141755,48
340,2006,Golf,WA,151,112,1036240,37,1960730,2937794,263
341,2006,Golf,WI,297,136,735573,51,1199663,1836503,433
342,2006,Golf,WV,169,62,368483,26,1062630,1260480,231
343,2006,Golf,WY,14,10,122434,3,409951,474214,24
344,2006,Gymnastics,AK,0,13,52039,1,300273,339969,13
345,2006,Gymnastics,AL,0,31,512065,2,526715,2767377,31
346,2006,Gymnastics,AR,0,13,214045,1,625618,1314637,13
347,2006,Gymnastics,AZ,0,33,264031,2,314546,1505783,33
348,2006,Gymnastics,CA,32,125,796611,9,1144109,5027945,157
349,2006,Gymnastics,CO,0,15,206276,1,1171894,1171894,15
350,2006,Gymnastics,CT,0,56,113731,3,708151,688680,56
351,2006,Gymnastics,DC,0,14,47427,1,526091,526091,14
352,2006,Gymnastics,FL,0,17,309055,1,179468,1317836,17
353,2006,Gymnastics,GA,0,17,217765,1,1277524,1409043,17
354,2006,Gymnastics,IA,15,33,375558,3,980899,2027325,48
355,2006,Gymnastics,ID,0,21,68680,1,97887,423956,21
356,2006,Gymnastics,IL,37,66,329385,6,914508,2608233,103
357,2006,Gymnastics,IN,0,22,80302,1,8064,349540,22
358,2006,Gymnastics,KY,0,20,188816,1,48491,920950,20
359,2006,Gymnastics,LA,0,24,221348,2,270111,1257160,24
360,2006,Gymnastics,MA,26,28,97047,4,247230,244300,54
361,2006,Gymnastics,MD,24,56,192799,4,563534,1132352,80
362,2006,Gymnastics,MI,21,83,1196087,6,1077380,4590553,104
363,2006,Gymnastics,MN,19,76,271747,5,263716,1355927,95
364,2006,Gymnastics,MO,0,29,212839,2,266211,1030583,29
365,2006,Gymnastics,NC,0,36,176608,2,552464,1085315,36
366,2006,Gymnastics,NE,20,14,267994,2,28124,1298981,34
367,2006,Gymnastics,NH,0,17,134880,1,345821,797176,17
368,2006,Gymnastics,NJ,0,21,114043,1,409150,409150,21
369,2006,Gymnastics,NY,0,75,159015,4,411085,446130,75
370,2006,Gymnastics,OH,20,59,251140,4,607231,2862541,79
371,2006,Gymnastics,OK,18,18,361790,2,68358,2138603,36
372,2006,Gymnastics,OR,0,18,278829,1,164209,1074313,18
373,2006,Gymnastics,PA,43,104,692648,8,1612853,2921786,147
374,2006,Gymnastics,RI,0,44,118884,3,719489,696230,44
375,2006,Gymnastics,TX,0,19,197227,1,142121,320653,19
376,2006,Gymnastics,UT,0,59,672044,4,1023664,2373195,59
377,2006,Gymnastics,VA,25,42,188103,4,259970,692577,67
378,2006,Gymnastics,WA,0,35,226936,2,663246,1166713,35
379,2006,Gymnastics,WI,0,87,130994,5,347588,345364,87
380,2006,Gymnastics,WV,0,20,169764,1,68196,724403,20
381,2006,Ice Hockey,AK,52,0,1084591,2,2258812,3246384,52
382,2006,Ice Hockey,AL,26,0,164428,1,550432,590981,26
383,2006,Ice Hockey,CO,53,0,1257569,2,5505704,4421980,53
384,2006,Ice Hockey,CT,201,165,1911633,14,5965625,7325838,366
385,2006,Ice Hockey,IL,30,23,88377,2,203383,201502,53
386,2006,Ice Hockey,IN,28,0,483230,1,322829,1991023,28
387,2006,Ice Hockey,MA,815,210,4359757,38,19464474,19269289,1025
388,2006,Ice Hockey,ME,117,89,822558,8,3609684,2721326,206
389,2006,Ice Hockey,MI,243,45,2930003,11,11461756,12073608,288
390,2006,Ice Hockey,MN,483,301,3928777,28,17055297,12531014,784
391,2006,Ice Hockey,MO,53,23,188381,2,93721,261306,76
392,2006,Ice Hockey,ND,50,22,1228204,3,3496767,1902114,72
393,2006,Ice Hockey,NE,26,0,749506,1,2358397,1987863,26
394,2006,Ice Hockey,NH,204,111,1542959,12,5685500,5660112,315
395,2006,Ice Hockey,NJ,51,22,421632,3,1317278,1165879,73
396,2006,Ice Hockey,NY,846,369,5079498,47,18066120,19155354,1215
397,2006,Ice Hockey,OH,79,24,1239151,4,3308378,6125415,103
398,2006,Ice Hockey,PA,156,68,683741,9,2861157,2896840,224
399,2006,Ice Hockey,RI,108,64,929160,7,1923043,3631194,172
400,2006,Ice Hockey,VT,161,120,982402,10,3637634,3321105,281
401,2006,Ice Hockey,WI,297,106,2463143,16,7449247,8629811,403
402,2006,Lacrosse,CA,85,183,707896,11,1215839,2608446,268
403,2006,Lacrosse,CO,70,72,535453,5,1996437,2110180,142
404,2006,Lacrosse,CT,413,297,1335462,24,5651973,6427586,710
405,2006,Lacrosse,DC,82,121,536397,7,1440280,2950174,203
406,2006,Lacrosse,DE,71,70,377843,5,1403471,1527904,141
407,2006,Lacrosse,FL,41,0,48936,1,180571,180507,41
408,2006,Lacrosse,GA,24,0,33855,1,188577,181442,24
409,2006,Lacrosse,IL,0,31,185819,1,27399,979689,31
410,2006,Lacrosse,IN,84,28,616349,3,792138,2590846,112
